白岩松口才好，书法写得也不错	白岩松/nr
夏威夷火山发威后又地震 近万人强制疏散	
夏威夷火山喷发无停止迹象 强震不断引发次生灾害	
夏威夷连遭火山喷发地震袭击 住宅区流岩浆万人撤离	
突发！夏威夷发生6.9级地震！基拉韦厄火山喷发！上万人撤离！	
春夏之交，养猪户们该如何防止病猪的出现？	
上联：一花香艳千人醉。下联是什么？	
小柴胡颗粒也能治胃病？「跟己安先生学中医」	
为车牌变身 他耍了小聪明 被交警查获 要付出大代价	
雾漫小东江景区——云蒸霞蔚，朦胧缥纱，如梦似幻！	
找到一本老字帖，小楷书法精美绝伦	
书法中小楷写的是功底，更是对书法的至真情怀！	
如何用稻田养殖小龙虾？	
小龙虾养殖种植哪种水草好？	
老百姓养殖小龙虾到底赚不赚钱？	
养殖小龙虾一亩究竟有多少产量？	
小龙虾的养殖前景及市场前景如何？	
小龙虾养殖（二）场地的设计和施工	
针对小龙虾养殖青苔问题的几点建议	
小龙虾价格暴涨，养殖户赚钱了吗？	
小龙虾卖那么贵，养殖成本大约多少？	
小龙虾怎么养殖？需要什么环境条件啊？	
河蟹、小龙虾养殖成功水草作用很关键！	
小龙虾养殖火爆，送你一份养殖手册，请收好！	
养殖小龙虾做好防控措施，五月魔咒并不可怕！	
2018-5月对小龙虾养殖青苔问题的几点建议	
2018年5月8日全国部分水产市场小龙虾价格	
小龙虾价涨销量升 养殖地：500多斤赚五、六千元	
如何评论现在农村基本农田被大面积挖成小龙虾养殖塘？	
小龙虾的养殖摧生出了各种行业，其中合作社算是比较成功的一例	
小龙虾在暴雨前后水体缺氧的原理以及应对措施	
职场孕期小麻烦，中医穴位按摩来帮你！	
报名｜名中医公益课堂“小满时节话祛湿”	
养猪过程中的几个小妙招，值得农村养猪户们收藏！	
调料煮水能治疗高血压？六个你没听过的降压小妙招	
美食小妙招：春风暖，病毒狂！体弱之人如何养正气	
上联：绿水小桥一壶酒；如何接下联？	
“小升初”生源之争——没有最好的学校只有最适合的教育	
“小升初”新政落地家长焦虑 该不该给娃报个班	
重磅关注：2018小升初五大名校这几所本部与分校将独立报名和摇号	
重磅！校方提醒家长小升初报名时应注意这些重要问题！	
小升初要做“亲子鉴定”？教育办：造假太多！	
小升初升学季来临，如何才能做个不焦虑的家长？	
小升初面谈网络报名结束，家长可以做哪些准备？	
小升初面谈必看！注意这些最后关头还能加分的“隐形加分项”	
升学资讯｜小升初未上岸的家长注意！这7所民办校报名通道开通中	
2018小升初加油站｜小升初，预备年级家长注意！教改新规后，初中语文学习如何调整	
2018小升初特长生报名开始，速看各城区招生细则	
小升初特长生招生即将取消，培养孩子的特长还有用吗？	
美国军事强大，为什么发动战争时要拉上英法等一帮小兄弟为它助阵？	
小学生作文不及格，老师将学生屁股打青被家长投诉	
学校让小学生模拟重走长征路，作为家长您是否赞同	
小学生作文不及格 老师将学生屁股打青	
小学生面对作业叫苦连连，老师说属于正常范围，家长很无奈	
小学生家长在班级群怒怼老师，被老师回应后踢出群 网友：很现实	
小学生家长“撕起来”老师安排座位不公平被踢出群 网友评论炸了	
小学生策划消防教育活动 提升对消防知识的了解	
小学生安全教育试题及答案	
美国免费向这个国家送小鹰号航母惨遭拒绝，今旧事重演，结果瞬变	
上联：今日小雨迎立夏，如何对下联？	
上联：小雨飘兮春已到，下联怎么对？	
“生态景区+休闲养生”构筑特色小镇	
花100亿元打造一座旅游小镇，成了道教文化景区	
原创上联：月落星稀天将晓，如何对下联？	
上联：竹子躬身谢时雨，下联怎么对？	
班级群多回复个谢谢老师，被其他家长说拍马屁，家长：就你最特殊	
请问一个人珠海一日游，吃，下周穿什么合适？谢谢，没去过，头一次去，请帮忙谢谢？	
原创诗词「七绝」渔夫曲 心羽浮沉又此霄	
老兵信鹏创办公司年入3000万，从普通士兵到创业达人的华丽转身！	
「大整治」整治非机动车“任性”行为 修武交警在行动	
购房者须知：买房进售楼处购房者要怎么问？	
就医须知｜网诊和面诊的态度差别怎么就这么大呢？	
上联：斜阳徐徐下西岭，此联如何对？	
在未取得商品房预售许可证明的情形时买受人如何主张自己的权利？	
上联：九日为旭，人人从，下联是什么？	
那些常识骗了你，房地产销售中精美宣传册的玄机	
通道：开创各种形式的“防灾减灾”宣传教育	
消除火灾隐患 共建地铁平安119消防宣传周地铁消防还能这么练！你肯定没见过	
上联:雪飞风冷早闭户，求下联？	
上联：花舞雪飞粘浅袖，下联怎么对？	
「原创对联」雪霁霜零露雲霞 请赐上联	
上联：踏遍青山寻鹤迹，如何对下联？	
上联：梦里寻君千百回，如何对下联？	
下联：窗破月寻人：求上联	
书法雅赏——世上没有不平的事，只有不平的心	
没输球也降工资！亚冠恒大0-0战平权健，恒大因“丢人”降6人工资	
解放军内部腐败分子暴露身份，以为燕双鹰不敢开枪，没想到被爆头	
一键收藏，初夏阳光海滩自驾游超实用指南	
感受激情阳光，体验多彩风情—砂器故里·贡椒之乡亲子自驾两日游	
阳光玫瑰嫁接之十大要点！一步一步教你还怕学不会	
举一反三：中医食疗养生很简单！先把“阳虚”搞定！	
阳虚痰湿水湿所致眩晕，中医调理思路方法参考！附案例	
杨总得了糖尿病 这酒还能不能喝了？	杨总/nr
印度厕所“所长”，每月500块钱工资养5个小孩，吃住都在厕所！	
我想回家养牛，打算养10头左右，有什么需要注意的吗？	
为什么有养鸡场却没有养狗厂？	
“养老”也变成了变相的炒房？！	
个税递延型养老保险试点落地 开启个人养老新时代	
中法将进一步推进养老服务业领域的合作	
中国人如何办理泰国养老签证？	
“光伏养老”在众多养老模式中脱颖而出	
2018拥有塞浦路斯护照能为医疗和养老带来那些便利方面的优势？	
45岁单身男在泰国首都曼谷退休养老，包括吃穿住行适当娱乐，一个月要准备多少钱？	
50岁，多少钱够养老？	
80后的养老危机，别指望安享晚年了！	
帮百姓打理积蓄 以养老为目标的公募基金呼之欲出	
帮助普通百姓打理手头积蓄，专门以养老为目标的公募基金呼之欲出	
不靠养儿防老的瑞典，如何实现在家养老？	
当你老了，谁来养老？看看海外都咋做的	
各个国家流行的养老方式，你中意哪一款？	
买房的代价：花掉父母的养老钱，还半辈子的债！	
你知道你的房子有一笔“养老基金”吗？	
农民工最心酸事之五：劳累一生，养老无着	
如何破解养老地产发展痛点？	
商业保险真的可以用于养老吗？	
税延养老：吸引中高收入人群的福利	
我国最适合人类居住的城市，悠闲散漫直养老，最后一个上榜很意外	
现在50岁，有100万够养老吗？	
养老定居，选择珠三角城市好还是长三角城市好？	
养老或将成为头号难题，是否会老无所依？	
养老基金清查大限 违规产品加速撤离	
养老目标基金渐行渐近 这些基金扎堆改名字	
这个政策一出，养老问题保障了，但这些人却老无所依了！	
最适合安家养老的城市？	
「热点」事关所有缴纳养老的农民！你能多领多少钱？	
5套一层农村小别墅，施工简单造价低，最适合建给父母养老	
城里人的退休就是每天跳跳广场舞，而农村人的养老就是干活干到老	
当你年老时，是留在城市还是到乡村的老家养老？	
国家要给农村65岁以上老人“发工资”了，以后农民养老无压力了！	
老了以后你想回农村养老吗？	
农村二女户二女出嫁留下二老后二老如何养老？	
农村老人怎么养老？	
农村六十岁以上的老人该怎么养老？	
农村面临的养老问题，从现在开始买养老保险，让你养老过的更轻松	
农村养老问题难主要在这 什么时候可以得到解决？	
农民多少岁才能退休养老？都有什么保障？	
农民将来该如何养老？	
浅谈农民养老问题	
速看，新政策发布，农民每个月可以多领这么钱，以后养老不用愁了	
为什么越来越多的人选择来农村养老？	
未来农民会怎么养老？	
新中式小院15X25米，适合农村养老，比别墅还美！	
养老新模式：跟着保姆回农村	
一娘能养十儿女，十儿难养娘一人，农村老人养老现状，一声叹息	
因儿子每次回农村上旱厕都被咬一屁股包，狂砸40万农村自建房养老	
走进养老服务业发展新时代——养老服务业发展典型案例汇编之农村养老项目（1）	
NBA6大养老合同，科比湖人相濡以沫，火箭5年6000万续约夺冠功臣	
都说70人可能成为最无奈的养老一代，为什么？	
外国老头都爱到这个地方养老，花钱就有美女陪伴颐养天年！	
不交养老金 , 每月存1000, 30年后够养老吗？	
还没买养老金，老年的生活保障会受到影响，三招帮你解决养老问题	
还为养老发愁？国家给65岁以上的农村老人增发养老金，等着享福吧	
利好！国家上涨农村养老基础养老金每人每月88元！网友的评论绝了	
现在养牛挣钱吗？	
几种养牛饲料的优势	
养牛羊怎么增膘长肉快？	
肉牛养殖户要注意的养牛误区	
养牛风险不大，为什么农村很少有人养牛？	
农村养牛那么赚钱   为什么都选择养猪呢？	
现在养牛户忙于买小肉牛，肉牛养殖前景如何？	
养牛的朋友进来看看，新建的牛棚，欢迎大家点评	
养牛知识：刚买回的肉牛感冒 母牛产后无奶怎么办？	
不知看哭多少农村养牛人，农村养牛最悲痛的事，看后你啥感受	
这些养生茶千万别乱喝，听听中医怎么说	
各位养殖户注意，2018年请放心养羊！	
地震失去双腿，年过50母亲养羊帮筹集资金，如今开了两家店	
上联：荷田雨打叶；怎么接下联？	
薄荷的养殖方法和注意事项有哪些？叶子发黄怎么办？怎么修剪？	
伊郎强硬反击，就西方要求对其导弹防御系统进行谈判，表明了什么？	
伊旗坐滴滴的注意了！21岁空姐深夜死于网约车！	
老年患者用药依从性差，是治疗失败的原因之一	
上联:忆往昔情深意重，有下联者请对？	
葡萄施肥大全顺口溜，好记易懂，你值得拥有	
新西兰研究：益生菌可降低怀孕期间患糖尿病的风险	
大学录取通知书来了，里面却夹着银行卡，这合理么？	
大学录取通知书中的银行卡可以在家转学费进去吗？	
英超六强后卫工资一览表：曼城后卫工资最高失球最少	
上联：风摇绿柳迎春燕，如何对下联？	
映山红可以放家里吗，映山红花怎么养殖	
服务到一线 永仁交警送考下乡	
服务到一线，永仁交警下乡进行摩托车考试	
不敢相信！世界最强特种兵到底有多强？一般人根本承受不了！	
惊！下周房贷利息又双叒涨，银行打劫刚需≈房价涨10%！	
内乡幼儿园一分园组织开展防溺水安全教育签名活动	
“恒大·嗨娃杯”幼儿篮球赛参赛幼儿园风采展示	
“小豆包”进幼儿园科普消防知识	
2018幼儿园招生启动，想要孩子不哭不闹入园，这些事得准备	
幼儿园老师惩罚学生微信发错群，家长很生气，老师被开除？	
都说幼儿园老师对幼儿不好，你们知道她们工资是多少吗？	
为什么幼儿园收着高额的学费，给老师的工资却那么低？	
幼儿园老师每个月工资有多少？揭开真实收入，太出乎意料了！	
上幼儿园必须打的疫苗，检查一下你家宝宝是否有漏种	
幼升小家长必看，让孩子爱上国学	
于右任书法作品展	
1988年鱼雷直接插入核潜艇是怎么回事？	
万吨核潜艇摸进美军航母编队，就差一颗鱼雷，报销美国航母	
上联：雨淋荷花荷更洁，怎么对下联？	
上联：春花谱曲话雨露，下联怎么对？	
上联：微雨蒙蒙芳草渡，如何对下联？	
对联：雨柔花无缺，怎么对对联？	
上联:江南听雨知春暖，求下联？	
玉露播种小技巧，简单易学，越养越水灵！	
玉米现在病虫害应该怎样防治？	
效率超高的卧式玉米饲料粉碎机	
玉米最后一次施肥应在什么时候？	
免耕玉米播种机什么牌子的好使？	
玉米播种后只生根不发芽啥原因？咋解决？	
「预警」农业农村部提醒您：今年种玉米仍需谨慎	
玉米饲料粉碎机也有卧式的，养殖户朋友们都来看看	
玉米播种后一直等雨，长时间干旱我们应该怎么办？	
玉米种植面积扩大，肥料跟着涨价！夏季肥行情会火爆吗	
种地需看：今日我国北方产区销区最新玉米、大豆价格行情	
种地售粮需看：今日我国北方地区最新玉米、大豆最新价格	
农业农村部再三提醒：不要盲目种玉米！有多少农民会听？	
化肥涨价，农药涨价，人工涨价，水电费涨价，玉米能涨价吗？	
玉米苗后除草剂药害严重影响产量？快看最全玉米药害解决办法	
今年玉米种植面积扩大，肥料跟着涨价！夏季肥行情会火爆吗？	
玉米出苗，病害也即将大面积发生，这些病害和防治方法收好了！	
5月9日玉米市场：各大机构纷纷北上考察春播，发现国储启动轮入	
发酵秸秆饲料养猪具体操作流程！三斤秸秆相当于一斤玉米的价值！	
同一块地，同一个品种，同时播种，为什么会出现玉米苗长得大小不一的现象？	
南方狂风暴雨，柑橘泡水、玉米全倒！未来十天，仍有强降雨！	
专家权威解答：不是施肥越多，玉米产量越高，关键还得看这点！	
助农增收，正确使用玉米田除草剂	
神奇的玉米须，治糖尿病效果好，还能防治并发症	
全球军衔最高的人，被7个国家授以元帅军衔，只因其打败一个敌人	
农户院落种了这多月月红，生活好了，更爱美的生活	
因抖音爆红的六大景区，你去过几个？网友：越红越不要去	
对越反击战，越军遗体是如何处理的？	
越南人等放闸洪水，跳到河里去捡“稀世珍宝”	
越秀｜越秀打响2018年征兵工作“第一枪”：下一站，军营见！	
上联:鹤耀云霄九洲庆丰年，下联？	
发现导游宰客应该怎么办？	
在旅行途中遭遇宰客行为，应该怎么办？	
出门旅游被坑你怕不怕？这些欺客宰客现象要入刑了	
讲义气不宰客的良心城市，每年接待几亿人却不怎么赚钱	
骑士未来的工资如何，会影响詹姆斯留队吗？	
2018买房新规：这3张证明比房产证更重要！小心保管好！	
大学录取通知书里有张银行卡，这种行为是否是强制消费？	
上联：人情似纸张张薄，下联如何对？	
小伙一张开嘴就是苹果味，没想到竟是糖尿病的信号	
美军“战斧”叙利亚折戟：美叙俄各执一词 专家却一眼看出端倪	
养老地产已然成为巨大风口！蜂拥而至后又为何纷纷折戟？	
房产之争没有赢家，回归情感真爱才是真谛	
菜农这样给茄子浇水，真是太有才了，涨知识！	
支付宝能不能把蚂蚁森林创办成旅游景区？	
如何避免植保工作中存在的农作物药害？	
C919已获815架订单 国产大飞机志存高远	
「考场佳作」高考模拟优秀作文欣赏：从阅读中汲取营养和智慧	
出自诗词名句中的智慧好名字欣赏	
相信中医，相信中医会让我们健康快乐智慧的活着	
海南今年将新增深水网箱750口 新建3个大型智能化养殖渔场	
智能化愈演愈烈，卡车自动驾驶离我们还有多远	
二手房周成交量减半	
我市开展民营企业招聘周活动	
著名的的中医经络专家随钢周与他的“随氏通”经络疏通仪	
旅游文化：周边游哪里好玩一日游？5月最适合旅游的地方	
上联：周公难解红楼梦，下联怎么对？	
经常听到球员十几二十万周薪，他们是不是每周发工资？	
他不肯签字，可经纪人却一直在跟球队周旋？这是嫌工资低？	
如何评价朱啸虎「我套现后哪管洪水滔天」的投资风格？	
上联，朱雀桥边照飞燕，如何对下联？	
重温那段激情岁月，一起为广大考生，送上默默祝福吧！	
子弟兵是我们最可爱的人：实拍抗洪部队回撤，民众挥手致谢	
致敬！救灾现场的子弟兵各式睡姿，倒地就睡，他们太累了	
子墨老师和你聊聊高考前一个月，最后冲刺考生复习重心该放哪？	
子墨老师高考志愿填报“7+3”模式每日一校：「中国政法大学」	
子墨老师高考志愿填报“7+3”模式每日一校：「首都师范大学」	
子墨老师高考志愿填报“7+3”模式每日一校：「北京邮电大学」	
子墨老师带你冲刺2018年高考—高中物理公式大总结	
子墨老师带你冲刺2018年高考—高考语文冲刺策略	
子墨老师带你冲刺2018年高考—高考化学最后备战	
子墨老师带你冲刺2018年高考—高考化学必备机物常见除杂方法	
书法家邹新林 行云流水 落笔如云烟	
上联：醉里乾坤大，如何对下联？	
上联：醉柳长斜，卧看浓云遮晚照，如何对下联？	
告诉我，你姓什么？是不是醉美在诗词里	
网约车乱象调查：正规平台下10单 来了7台黑车	
11楼以上发生火灾，消防可灭火吗？	
全国16省公布2018年一季度生猪养殖情况	
安徽池州市 28家A级景区针对全省16市市民实施门票分期免费活动	
“三点半”接送孩子难的家长快看！河北1市中小学全面开展“延时服务”	
2008年汶川地震后，从北京前往北川的记录	
太原新增3家市医保定点医院	
2018教师招聘考试｜心理学简述题简答题48道！	
赚钱故事第49集：景区卖辣椒酱的	
被瞧不起的5门大学专业，好就业工资高，未来20年人才需求大！	
哈尔滨：即日起主城6区新购商品房满3年方可交易	
限售观察：哈市主城6区新房3年内不能卖！公积金贷款有多难？	
西安国企4000元工资相当于私企多少钱？	
滴滴司机接跨省天价订单 乘客半路改道至今未付款	
上联：山水不曾随我老，如何对下联？	
大池对联作品选刊	
收藏｜北京故宫镇院十大名画	
癌症患者大山里组成抗癌部落	
农村十大新现象之一：耕地荒芜非常可惜	
最受考研人欢迎的城市，有你报考高校所在的城市吗？	
这里是全中国最“假”的城市，“造假”造出了举世闻名的5A级景区	
厉害了我的国！刚刚，一款国产武器在异国他乡大出风头	
农场究竟应该怎么运营？这样让你的农场火起来！	
120万！他把收藏多年的镇馆之宝给卖了！	
第二次车臣战争对于俄军有什么不一样，有什么战术？	
为什么俄罗斯每年都要红场阅兵？	
八五二农场第四管理区“五比五看”劳动竞赛营造水稻插秧氛围	
八五五农场党员干部多措并举助力春播	
车顶摆玩偶很拉风？宝应交警开启处罚模式	
“翰墨传承书法作品展”北京站开幕	
毕节大方交警开展形式丰富多彩的“五个一”进驾校活动	
假如你是炒房团，绝地求生里哪个城区的房子最值得投资？	
B52飞冲绳 台媒：是在练习攻击大陆航母	
台湾的驾照能在大陆使用吗，如果能该怎么用？	
飞机背着大型航天飞机飞行，可以在地球低轨道条件下空中发射	
一颗原子弹威力达到多大，才能将地球毁灭？真正答案让人无言以对	
一地震就要送命，这条鱼可能是地球上最痛恨地震的动物了	
下联：月照孤村三两家；求上联	
“湖光山色”房车自驾游 游进你的心中	
上联：建东台，唱西游，南腔北调，请接下联？	
上联，江南江南阴雨绵绵，如何对下联？	
太平营街道：特色产业鼓起农户“钱袋子”	
上联：碣石山上观沧海，如何对下联？	
二本高校推荐：九所二本最有前景综合性大学	
军营里什么级别的军人才能住军区大院？	
怎么去非洲开农场，做生意？	
在花盆里加个生鸡蛋 ，从此以后植物疯长，一年都不用再施肥	
上联：风卷连城墙欲倒，如何对下联？	
每袋135元的肥料最多值60多元！忽悠团联合村干部合伙坑害农民！	
每袋135元的肥料，最多值60多元！忽悠团联合村干部合伙坑害农民	
养鸡｜话说搞好“两道一免”是重点	
海面上亮起两道闪光，六级地震随之而来，世界上又多了个有核国家	
哈市限售六城区新房3年内不能卖，调整住房公积金贷款条件	
上联:春风又绿江南岸；怎么接下联？	
搞家庭农场，合作社如何去平衡各级关系？	
最接地气的亲子农场遍地开花，真正会玩的在这里！	
亲子农场丨365天全年无休，你能给她最好的薪水是什么？	
中国人来了！非洲荒地变农场：拖拉机成了高科技，大葱比手臂还粗	
农场着火主人慌忙逃生，狗狗留守救出一票小弟	
苹果树栽培技术｜苹果园科学施肥方案	
上联：红烛落泪千里行，下联怎么对？	
布局自驾游 锡盟推“千里草原风景大道”	
农村俗语：“千条路，万条路，养猪是条富裕路”，养猪人怎么看？	
下联：清水出芙蓉；求上联	
上联：清水出芙蓉，下联怎么对？	
刚拿驾照没多久，不敢一个人上路开车怎么办？	
上联：人向门中闪，如何对下联？	
5月5日起兴义各景区对京津冀地区游客实行门票全免	
汛期雨急隧道口突发泥石流 高速一支队三大队紧急协调处置排险保通	
山大加入高校争才战：再拿不出好的体制机制，滑坡可能会更快	
上联是“知山知水谁知己”，如何对下联？	
你所在的学校、社区、单位组织过地震疏散演练吗？	
「交警动态」辉南交警严厉整治涉牌涉证违法行为	
胜利农场全面加快旱田播种进度	
世界首家十星级酒店，一年工资只能住一晚	
曙光农场召开2018年水稻插秧定标会	
关注｜双流司机注意！当酒驾遇上碰瓷……	
洪灾过后，番茄管理要迈的四道“坎”	
上联：落花无意随水去，下联怎么对？	
土乡家庭农场的领头雁	
上联：长空万里看山河，如何对下联？	
东北地区补课一节课高达千元还有价无市，如果补课被取缔，最终受益方是谁？	
我国军舰刚到印度洋，就被50艘战舰突然包围，西方：有好戏看了	
西华：今年农机购置补贴本月启动 投入补贴达1700万元	
上联：问东西南北，相逢何处，下联怎么对？	
上联：水流桥下，今水非昔水，如何对下联？	
榆社中高考考生与家长心理调适公益讲座在县文体活动中心圆满举行	
河滨县发生多次地震 大地震就要来临？	
为何三四线小城市房价飞速上涨，但工资不涨？	
三农问题如果不解决，振新农村完全无从谈起！	
9月新农村医保报销范围和比例你知道吗？都看看吧！	
2018新中高考改革实施策略与个性化教学研讨会在蓉举行	
养殖场抽粪泵浅谈	
为何一定要打压小型养殖场？	
养殖场如何掌握蛋价的话语权？	
养殖场怎样才能掌握蛋价的话语权？	
EPS模块能否建设养殖场？成本如何？	
养殖场禁养，转型升级以后，可以不拆吗？	
生猪行情如此低迷，小规模养殖场应该如何面对？	
请问建一个出栏，五百头生猪的养殖场，大约多少钱？	
上联：轻雾弄烟夜江静，如何对下联？	
老兵书法家：一条街的对联竟然都是他写的	
上联：春风赐雨千山秀。下联是什么？	
让游人淡忘了的老景区长寿村：还会再火起来吗？	
一大波招聘岗位来袭！来华政园做个同事吧～	
俄舰队启航参加中俄联合演习，三艘舰龄之和尴尬超一百年	
5天后就是大限！美军正考虑军事打击伊朗，中俄明确作出表态	
美出台国防授权法案应对中俄竞争 国防预算超7000亿美元	
血战到底！伊朗军方：一旦美军越过底线，必反击！中俄鼎力支持	
为什么工程类应届毕业生不愿去中铁、中水、中建、中交的基层，是工资低还是条件苦？	
“读透”中考电子阅卷流程，避免考试失分雷区，考试少扣20分！	
“华文教育名师巡讲团”巴黎开讲	
“我来当回坏人”，美国女老师认为校园枪击案不断的根源在家长	
「5.15活动」理工科专业留学深度解析校园巡讲-西电专场	
「独家重磅」广渠门中学“让生命影响生命” 集团化办学为学生提供更优质的教育资源	
「津云视点」延时放学解“三点半”难题，家长满意吗？	
「科普」加拿大留学要多长时间？加拿大名校的学分制解析！	
「名校经验」衡水中学高考冲刺备考细节：将潜力挖到极致	
「新闻」台大“新五四运动”爆冲突 “反管”学生自导自演遭讽是戏精	
「重磅」2018年华夏鲲鹏自主招生复试集训预告！报名进行时！全真	
中考志愿填报+新高考政策解读，尽在2018中考志愿填报讲座	
中考要到啦！作为家长应该准备些什么？	
2018年北大清华自主招生初审名单公布，重庆地区共138人入选	
中考、高考在即，如何帮助孩子搞好生涯规划	
2018年贵安新区6所普通高中计划招生840人	
2018年全国普通高校招生安全工作电视电话会议在京召开	
2018年新兴经济体大学排名揭晓，中国94所高校上榜！	
2018志愿填报快速入门——城市、高校、专业通通一文读懂！	
这些公办院校开设了二本专业，实力强，位置佳，任你挑！	
报志愿时城市、专业、学校到底哪个重要？选大学最重要的指标	
北大清华公布今年自主招生初审名单 吉安3名“学霸”被“预定”	
被家长这样“忽悠”长大的孩子竟更优秀	
原创：给中考和高考家长的建议	
不同层次的考生该如何冲刺2018年中考？此文献给五月迷茫的你！	
不同层次的考生该如何应对2018年中考？此文献给五月迷茫的你！	
答疑｜成人高考被录取后怎么上课的？	
独山一中开展“拒绝手机进校园”教育活动	
新高考改革后首次普通高中学业考试5月7日报名	
儿子今年被重庆邮电大学生物医学工程专业录取，了解到该专业的就业前景不好，该怎么办？	
儿子今年高考，看成绩只能上二本，我是花十几万让他上大学，还是让他出去打工？	
二本分数应该选择热门专业争取考研到一本，还是选择好就业的专业掌握技术直接就业？	
分数过批次线20分，为了喜欢的专业，选一本院校好还是省外二本好呢？	
提前祝愿2018年，6月高考的你们顺顺利利！	
谁说你不能是高考逆袭的那匹黑马	
茂陵博物一日游	
五一小长假，开元寺半日游	
旅游攻略 走进孜州海螺沟景区	
东京一日游jr交通卡买哪种？	
北川九皇山景区 震后十年重生	
德云山综合旅游区一日游最全攻略	
5台新型环保车云阳山风景区上岗	
假期呼伦贝尔草原七日游路线攻略	
北川九皇山景区十年涅槃，而今重生	
宝岛基隆一日游，发现海峡对岸的美	
东北三省自驾游8天，有什么线路推荐？	
在加拿大自驾游是一种怎样的一种体验？	
川河盖景区帐篷露营地5月13日对外开放	
5月12日，剑门关景区等你来，重点是……	
中使馆发埃及旅游指南 遇景区人员索要小费应拒绝	
这座城市景区全免费，包括1个5A和7个4A级景区	
呼伦贝尔草原这个景区被称为户外天堂，99%的人都会去	
青天河景区推出“七古”历史文化游 七大古迹你去过哪些？	
5月已通行！阿克苏人能去这条壮美的公路自驾游啦，具体……	
九皇山，用十年时间说一句感谢，数万张景区贵宾券免费发放啦	
免费！九华山、牯牛降……这28家A级景区，安徽人免费玩！	
太牛了！雷台大景区总规划首次大曝光，抢先看多片区效果图！	
投了5个亿，免费的倒回沟景区，成了门票50元的天河大峡谷	
五一自驾游住酒店多留个心眼，提前准备这些东西，安全又卫生	
好消息！炭河古城景区西周风情街只等你来！机会一年仅这一次	
一座城，一湖水，这个4A级景区免费开放，这里的市民有福了	
浙闽两省四县相关领导签署了（龙头山）景区旅游开发合作备忘录	
去闺蜜家，被院子里的花吸引住了，都要爆院了，简直比景区还要美	
喀旅股份“喀纳斯景区旅游咨询引导员正式上岗竭诚服务为游客解难	
令人震撼的三大景区，其中一个景区青山常绿、河流密布、风光绮丽	
「免票了」5月19日，达古冰山景区免门票，老铁们提前安排一下	
山沟沟几年前随便玩，现公司开发为4A景区，半年收入5600万	
江南六大古镇之一-同里古镇（小桥流水人家）第八章 珍珠塔景区	
这4个旅游景区堪称“山寨之最”，最后一个门票七百多，感觉最坑	
全部实拍图，武汉一景区内近十种鲜花相继盛开，一年最美季终到来	
好消息！九华山、牯牛降、秋浦河……28家景区，马鞍山人免费玩！	
房产租售服务	
拆迁注意事项1	
二手房好卖吗？	
房贷利息会涨吗？	
房地产成本核销三	
房地产调控不能懈怠	
旅游房产前景如何？	
房产销售入门三步走	
我们该不该变房奴？	
二手房值得购买吗？	
公积金贷款的利与弊	
你现在拥有几套房产？	
现在该不该投资房产？	
房地产成本核算课程二	
房贷审批需要多久呢？	
房贷利息是怎么算的？	
这房子，难怪房东要卖	
现在做房产销售如何？	
房地产开发商团购公司	
房地产税改革渐行渐近	
二手房可以按揭贷款吗？	
房产证上加名字大有学问	
二手房交易涉及哪些税？	
店铺房东大幅涨租金对策	
子女如何继承父母房产？	
租房市场同样不容“炒”	
房产的大火还能烧多久？	
拆迁房屋价格评估的程序	
买二手房需要什么费用？	
购买二手房，卖家反悔？	
住房公积金会不会被取消？	
如何避免二手房交接纠纷？	
如何省钱买房不做房奴呢？	
如何签订二手房买卖合同？	
做房产到底逼疯了多少人！	
二手房翻新需要注意什么？	
二手房买卖应该注意什么？	
凭什么我要分一半房产给你	
现在办个房产证需要多钱？	
父母的房产如何办理继承？	
房贷年龄限制延长至70岁	
拆迁，这样补偿合法合理吗	
商业房贷如何转成公积金贷？	
为什么现在银行不放房贷了？	
租房买房要小心房源“陷阱”	
2018年做房地产怎么样？	
主城区棚户区改造三年内完成	
首套房贷上调 购房族再添难	
长租房是未来的趋势所在吗？	
居民一次收到6次房地产税单	
办理房地产资质有什么条件？	
探讨：售楼处如何缴纳房产税	
2018更适合买二手房吗？	
没有房产证的房子可以买吗？	
公租房什么时候能办房产证？	
直戳痛点，买房与租房的区别	
网上提取公积金需哪些步骤？	
在外租房要记住这些注意事项	
房贷为何不能自己选择银行？	
把房子租出去还房贷划算吗？	
可以使用公积金在异地买房吗？	
为什么房价涨了二手房卖不动？	
未来房地产调控会持续加码吗？	
公租房和廉租房能否长期租住？	
公积金贷款买房有哪些优缺点？	
工行试点推出房租分期付款业务	
今起提取公积金不需复印身份证	
退役军人如何申请公积金贷款？	
房地产销售真可以月薪过万么？	
哪些人在租房市场“炒租金”？	
现在哪些城市还可以投资房产？	
在东京基本只能租房过日子吗？	
有30万，如何选对房产投资？	
90后，还完房贷是什么感觉？	
期房没建好就要还房贷合理吗？	
交了首付房贷批不下来怎么办？	
二手房不砍价，中介当你是傻子	
拆迁维权的最佳时机和应对措施	
防止提取住房公积金用于炒房投机	
买新房环是二手房，帮您分析以下	
公司不为员工交公积金是否违法？	
新房pk二手房究竟有什么吸引力	
房产经纪人都要上的房产微营销课	
二手房选购攻略 外部环境需重视	
买新房？二手房？记者帮您来盘算	
与异性合租是一种什么样的体验？	
美国房产经纪人是一个怎样的存在	
你还不知道住房公积金的用处吗？	
警方提示：购买二手房之防坑攻略	
只要满足条件租房也能用上公积金	
